Train started: 20200429_1244
F = <module 'torch.nn.functional' from '/home/milkylatte/miniconda3/envs/irobot/lib/python3.8/site-packages/torch/nn/functional.py'>
ENV_NAME = MsPacmanNoFrameskip-v4
ENV_TERM_SCORE = 100000000.0
BATCH_SIZE = 64
GAMMA = 0.99
EPS_START = 1
EPS_END = 0.2
EXP_FRACTION = 0.1
NUMBER_OF_FRAMES = 10000000.0
TARGET_UPDATE = 1000
TRAIN_FREQUENCY = 4
HEIGHT = 84
WIDTH = 84
EPSILON = 0
MEM_SIZE = 10000
LEARNING_STARTS = 10000
SINGLE_EVAL_STEPS = 10000
SCHEDULE_TIMESTEPS = 1000000.0
LEARNING_RATE = 0.0001
PATH = ./deepQ.pt
NUM_EPS_BETWEEN_SAVES = 300
NUM_EPS_TO_SAVE = 6
ALGO_NAME = DDQN

games,frames,epsilon,score,network_loss,delta_t,frames/t
12:44:32,1,203,1,13.0,0,0.316656,641.0742256581275
12:44:37,2,378,1,12.0,0,5.208074,33.60167309450672
12:44:38,3,507,1,2.0,0,0.161334,799.583472795567
12:44:38,4,703,1,15.0,0,0.258502,758.2146366372407
12:44:38,5,876,1,7.0,0,0.215316,803.4702483791265
12:44:38,6,1067,1,9.0,0,0.262955,726.3600235781788
12:44:39,7,1240,1,8.0,0,0.223353,774.5586582674064
12:44:39,8,1413,1,8.0,0,0.2121,815.6529938708156
12:44:39,9,1547,1,3.0,0,0.168791,793.8811903478266
12:44:39,10,1713,1,6.0,0,0.209717,791.5428887500775
12:44:39,11,2016,1,28.0,0,0.380341,796.6535293328882
12:44:40,12,2197,1,11.0,0,0.229159,789.8446057104455
12:44:40,13,2379,1,11.0,0,0.239396,760.2466206619994
12:44:40,14,2566,1,16.0,0,0.238199,785.0578717794785
12:44:40,15,2745,1,5.0,0,0.226987,788.5914171296154
12:44:41,16,2926,1,12.0,0,0.243522,743.2593359121558
12:44:41,17,3103,1,7.0,0,0.223678,791.3160883055107
12:44:41,18,3374,1,12.0,0,0.338103,801.5308944315785
12:44:41,19,3550,1,4.0,0,0.230091,764.914751120209
12:44:42,20,3729,1,14.0,0,0.227489,786.8512323672793
12:44:42,21,3852,1,0.0,0,0.158694,775.076562440924
12:44:42,22,3972,1,5.0,0,0.162203,739.813690252338
12:44:42,23,4111,1,9.0,0,0.178156,780.2150923909383
12:44:42,24,4269,1,2.0,0,0.199899,790.3991515715437
12:44:43,25,4477,1,15.0,0,0.266957,779.1516985881622
12:44:43,26,4646,1,12.0,0,0.215125,785.5897733875653
12:44:43,27,4779,1,0.0,0,0.17037,780.6538709866761
12:44:43,28,4962,1,9.0,0,0.2399,762.8178407669863
12:44:43,29,5137,1,9.0,0,0.225833,774.9088928544544
12:44:44,30,5310,1,3.0,0,0.219497,788.1656696902463
12:44:44,31,5497,1,13.0,0,0.24836,752.9392816878725
12:44:44,32,5634,1,7.0,0,0.194622,703.9286411608143
12:44:44,33,5779,1,3.0,0,0.215733,672.127120097528
12:44:45,34,5916,1,10.0,0,0.186156,735.9418981929135
12:44:45,35,6077,1,8.0,0,0.209616,768.0711396076636
12:44:45,36,6222,1,6.0,0,0.186239,778.5694725594532
12:44:45,37,6402,1,17.0,0,0.237567,757.6809910467363
12:44:45,38,6543,1,3.0,0,0.178929,788.0220646178093
12:44:46,39,6800,1,12.0,0,0.327932,783.6990595611285
12:44:46,40,6988,1,11.0,0,0.25933,724.9450507075926
12:44:46,41,7101,1,3.0,0,0.148145,762.7662087819366
12:44:46,42,7409,1,13.0,0,0.388177,793.4524714241184
12:44:47,43,7601,1,15.0,0,0.268192,715.9050232669133
12:44:47,44,7840,1,13.0,0,0.296101,807.1570173690734
12:44:47,45,8028,1,3.0,0,0.238127,789.4946814095
12:44:48,46,8220,1,9.0,0,0.249413,769.8075080288518
12:44:48,47,8369,1,9.0,0,0.186284,799.8539863863778
12:44:48,48,8518,1,10.0,0,0.191007,780.076122864607
12:44:48,49,8756,1,17.0,0,0.306027,777.7091563816265
12:44:48,50,8887,1,3.0,0,0.165616,790.9863781277171
12:44:49,51,8993,1,6.0,0,0.139544,759.6170383534942
12:44:49,52,9185,1,14.0,0,0.255813,750.5482520434848
12:44:49,53,9364,1,5.0,0,0.228079,784.8157875122216
12:44:49,54,9497,1,4.0,0,0.174585,761.8065698656815
12:44:49,55,9671,1,15.0,0,0.23163,751.1980313430903
12:44:50,56,9862,1,5.0,0,0.242678,787.0511542043366
12:44:50,57,10043,0.9999664,7.0,0.6265671610832214,0.410258,441.18579040506216
12:44:51,58,10240,0.9998088,14.0,0.094571927334277,1.033378,190.63692085567916
12:44:52,59,10439,0.9996496,9.0,0.07070054026320577,1.065825,186.70982572185866
