Train started: 20200429_1249
F = <module 'torch.nn.functional' from '/home/milkylatte/miniconda3/envs/irobot/lib/python3.8/site-packages/torch/nn/functional.py'>
ENV_NAME = MsPacmanNoFrameskip-v4
ENV_TERM_SCORE = 100000000.0
BATCH_SIZE = 64
GAMMA = 0.99
EPS_START = 1
EPS_END = 0.2
EXP_FRACTION = 0.1
NUMBER_OF_FRAMES = 10000000.0
TARGET_UPDATE = 1000
TRAIN_FREQUENCY = 4
HEIGHT = 84
WIDTH = 84
EPSILON = 0
MEM_SIZE = 10000
LEARNING_STARTS = 10000
SINGLE_EVAL_STEPS = 10000
SCHEDULE_TIMESTEPS = 1000000.0
LEARNING_RATE = 0.0001
PATH = ./deepQ.pt
NUM_EPS_BETWEEN_SAVES = 300
NUM_EPS_TO_SAVE = 6
ALGO_NAME = DDQN

games,frames,epsilon,score,network_loss,delta_t,frames/t
12:49:51,1,176,1,8.0,0,0.262749,669.8407986329158
12:49:56,2,333,1,8.0,0,5.250972,29.8992262765827
12:49:57,3,506,1,13.0,0,0.219771,787.1830223277867
12:49:57,4,642,1,7.0,0,0.178113,763.5602117756705
12:49:57,5,713,1,4.0,0,0.094681,749.8864608527582
12:49:57,6,846,1,1.0,0,0.191643,693.9987372353803
12:49:57,7,990,1,11.0,0,0.205783,699.7662586316654
12:49:57,8,1059,1,0.0,0,0.101574,679.3076968515566
12:49:58,9,1206,1,5.0,0,0.194799,754.623997043106
12:49:58,10,1401,1,16.0,0,0.251607,775.0181831189116
12:49:58,11,1554,1,11.0,0,0.191553,798.7345538832594
12:49:58,12,1725,1,4.0,0,0.216477,789.9222550201638
12:49:58,13,1919,1,10.0,0,0.249726,776.8514291663663
12:49:59,14,2076,1,14.0,0,0.200669,782.3829291021533
12:49:59,15,2237,1,4.0,0,0.203046,792.9237709681549
12:49:59,16,2404,1,3.0,0,0.221237,754.8466124563251
12:49:59,17,2543,1,9.0,0,0.174048,798.6302629159771
12:50:00,18,2716,1,12.0,0,0.2202,785.6494096276112
12:50:00,19,2890,1,6.0,0,0.232312,748.9927339095699
12:50:00,20,3053,1,8.0,0,0.20924,779.0097495698719
12:50:00,21,3118,1,0.0,0,0.09235,703.8440714672441
12:50:00,22,3279,1,10.0,0,0.215154,748.3012168028481
12:50:00,23,3402,1,5.0,0,0.157456,781.1706127426074
12:50:01,24,3549,1,7.0,0,0.183197,802.41488670666
12:50:01,25,3741,1,19.0,0,0.249058,770.9047691702334
12:50:01,26,3896,1,9.0,0,0.195767,791.7575485143053
12:50:01,27,4037,1,6.0,0,0.182129,774.1765451959874
12:50:01,28,4209,1,13.0,0,0.223889,768.2378321400337
12:50:02,29,4286,1,0.0,0,0.103999,740.391734535909
12:50:02,30,4415,1,4.0,0,0.166157,776.374152157297
12:50:02,31,4649,1,14.0,0,0.30156,775.9649820931159
12:50:02,32,4818,1,6.0,0,0.215998,782.4146519875184
12:50:02,33,4994,1,5.0,0,0.225188,781.5691777536991
12:50:03,34,5164,1,12.0,0,0.225232,754.7772962989274
12:50:03,35,5301,1,6.0,0,0.175464,780.786942050791
12:50:03,36,5427,1,1.0,0,0.163982,768.3770169896696
12:50:03,37,5558,1,7.0,0,0.17422,751.9228561588795
12:50:04,38,6125,1,49.0,0,0.786011,721.3639503772848
12:50:04,39,6272,1,5.0,0,0.209966,700.1133516855109
12:50:04,40,6443,1,7.0,0,0.260277,656.9923581415185
12:50:05,41,6618,1,10.0,0,0.269392,649.6109758270475
12:50:05,42,6774,1,3.0,0,0.198135,787.3419638125521
12:50:05,43,6948,1,10.0,0,0.227571,764.5965434963155
12:50:05,44,7107,1,10.0,0,0.204135,778.8963186126828
12:50:06,45,7262,1,14.0,0,0.197222,785.9163784973279
12:50:06,46,7443,1,15.0,0,0.236554,765.1529883240191
12:50:06,47,7626,1,3.0,0,0.233058,785.2122647581289
12:50:06,48,7757,1,5.0,0,0.167491,782.1315772190744
12:50:06,49,7932,1,7.0,0,0.229749,761.7008126259526
12:50:07,50,8063,1,10.0,0,0.169716,771.8777251408235
12:50:07,51,8134,1,0.0,0,0.096148,738.444897449765
12:50:07,52,8306,1,5.0,0,0.225865,761.5168352777101
12:50:07,53,8435,1,4.0,0,0.165178,780.9756747266586
12:50:07,54,8534,1,1.0,0,0.1301,760.9531129900078
12:50:07,55,8710,1,14.0,0,0.231776,759.3538588982466
12:50:08,56,8895,1,15.0,0,0.234905,787.5524148059853
12:50:08,57,9033,1,0.0,0,0.177606,777.0007770007769
12:50:08,58,9221,1,10.0,0,0.247758,758.8049629073531
12:50:08,59,9366,1,11.0,0,0.18574,780.6611392268763
12:50:09,60,9571,1,10.0,0,0.260193,787.8766915328237
12:50:09,61,9740,1,6.0,0,0.222079,760.9904583504068
12:50:09,62,9893,1,8.0,0,0.190255,804.1838585056897
12:50:10,63,10202,0.9998392,12.0,0.9712044740468264,1.231973,250.81718511688163
12:50:11,64,10376,0.9997,15.0,0.25668817152117573,0.968455,179.66761491241203
12:50:12,65,10507,0.9995952,4.0,0.6923277360020261,0.725823,180.48477383604543
12:50:13,66,10680,0.9994568,9.0,0.5149799582743367,0.937898,184.45502602628432
12:50:14,67,10852,0.9993192,9.0,0.1446196375371412,0.952371,180.60188728972219
