Train started: 20200429_1304
F = <module 'torch.nn.functional' from '/home/milkylatte/miniconda3/envs/irobot/lib/python3.8/site-packages/torch/nn/functional.py'>
ENV_NAME = PongNoFrameskip-v4
BATCH_SIZE = 32
GAMMA = 0.99
EPS_START = 1
EPS_END = 0.01
EXP_FRACTION = 0.1
NUMBER_OF_FRAMES = 40000000.0
TARGET_UPDATE = 1000
TRAIN_FREQUENCY = 4
HEIGHT = 84
WIDTH = 84
EPSILON = 0
MEM_SIZE = 250000
LEARNING_STARTS = 10000
SINGLE_EVAL_STEPS = 10000
SCHEDULE_TIMESTEPS = 4000000.0
LEARNING_RATE = 0.0001
PATH = ./deepQ.pt
GIF_PATH = ./game_video/

games,frames,epsilon,score,network_loss,delta_t,frames/t
13:04:39,1,907,1,-21.0,0,1.100062,824.4989827846066
13:04:44,2,1820,1,-20.0,0,4.409273,207.0636134346864
13:04:45,3,2793,1,-21.0,0,1.148263,847.3668488839229
13:04:46,4,3609,1,-21.0,0,0.934977,872.7487414128905
13:04:47,5,4370,1,-21.0,0,0.865123,879.6437038432686
13:04:48,6,5188,1,-21.0,0,0.956337,855.3470167942891
13:04:49,7,6146,1,-21.0,0,1.093919,875.750398338451
13:04:50,8,7040,1,-20.0,0,1.052335,849.5393577140359
13:04:51,9,7875,1,-20.0,0,0.964127,866.0684743814871
13:04:52,10,8719,1,-21.0,0,0.969483,870.5670960707923
13:04:53,11,9537,1,-21.0,0,0.936415,873.5443152875595
13:04:54,12,10316,0.9999220375,-21.0,0.65988103653758,1.606387,484.939183397276
13:04:57,13,11166,0.9997116625,-20.0,0.2613753844783565,2.983581,284.8925502609113
13:05:00,14,12036,0.9994963375,-20.0,0.005463765966901792,3.206809,271.2977293003731
13:05:04,15,12947,0.999270865,-21.0,0.004563221505936542,3.168303,287.53563027273594
13:05:06,16,13735,0.999075835,-21.0,0.0041204326105632625,2.836593,277.7980485744694
13:05:09,17,14554,0.9988731325,-21.0,0.003280399279617818,2.793889,293.1397775645346
13:05:12,18,15313,0.99868528,-21.0,0.0037809154957741207,2.667521,284.53384247021864
13:05:15,19,16196,0.9984667375,-21.0,0.002738142889045941,3.541416,249.3352941309352
13:05:19,20,17030,0.9982603225,-20.0,0.002727430871950739,3.15979,263.94159105510175
13:05:22,21,17970,0.9980276725,-19.0,0.0025496572767572598,3.537914,265.6932870612457
