Train started: 13:17
F = <module 'torch.nn.functional' from '/home/milkylatte/miniconda3/envs/irobot/lib/python3.8/site-packages/torch/nn/functional.py'>
BATCH_SIZE = 32
GAMMA = 0.99
EPS_START = 1
EPS_END = 0.01
EXP_FRACTION = 0.1
NUMBER_OF_FRAMES = 10000000.0
TARGET_UPDATE = 1000
TRAIN_FREQUENCY = 4
HEIGHT = 84
WIDTH = 84
EPSILON = 0
MEM_SIZE = 10000
LEARNING_STARTS = 10000
SINGLE_EVAL_STEPS = 10000
SCHEDULE_TIMESTEPS = 1000000.0
LEARNING_RATE = 0.0001
PATH = ./deepQ.pt
GIF_PATH = ./game_video/

games,frames,epsilon,score,network_loss,delta_t,frames/t
13:17:22,1,788,1,-21.0,0,0.916662,859.6407399892217
13:17:23,2,1606,1,-21.0,0,0.912456,896.4815837695187
13:17:24,3,2396,1,-21.0,0,0.875288,902.5600716564148
13:17:25,4,3319,1,-20.0,0,1.024847,900.6222392220496
13:17:26,5,4317,1,-21.0,0,1.140518,875.0409901465825
13:17:27,6,5487,1,-20.0,0,1.29496,903.5028108976338
13:17:29,7,6543,1,-18.0,0,1.340517,787.7557688563443
13:17:30,8,7544,1,-19.0,0,1.463762,683.854342440916
13:17:31,9,8565,1,-20.0,0,1.40184,728.3284825657707
13:17:33,10,9411,1,-21.0,0,1.123989,752.6764051961363
13:17:35,11,10353,0.99965152,-21.0,0.48807261513270944,2.357883,399.5109172083602
13:17:38,12,11202,0.99881101,-21.0,0.1333714753042309,2.761488,307.4429438042099
13:17:41,13,12176,0.99784675,-19.0,0.10231870819944812,3.657524,266.3003715081569
13:17:45,14,13017,0.99701416,-21.0,0.10950887914618998,3.214865,261.59729879792775
13:17:48,15,13880,0.99615979,-20.0,0.09931722259430519,3.136992,275.1043037406535
13:17:51,16,14713,0.99533512,-21.0,0.11187126820029147,2.954895,281.90510999544824
13:17:54,17,15655,0.99440254,-20.0,0.10908710344773816,3.321745,283.5858863338396
13:17:57,18,16487,0.99357886,-21.0,0.10090780248328184,2.909171,285.99212627927335
13:18:00,19,17387,0.99268786,-20.0,0.07474641906304492,2.994519,300.5491032115675
13:18:03,20,18309,0.99177508,-20.0,0.06451910660799706,3.100849,297.33792261409695
13:18:06,21,19097,0.99099496,-21.0,0.06554289087936811,2.587144,304.5829687098979
13:18:09,22,20162,0.98994061,-19.0,0.06215355962977037,3.624224,293.85600890011216
13:18:12,23,21034,0.98907733,-21.0,0.060026789047763845,2.898077,300.88917582245057
13:18:15,24,21998,0.98812297,-19.0,0.07344747662034148,3.097752,311.19340734829643
13:18:18,25,22869,0.98726068,-20.0,0.07735713827637357,2.82773,308.02092137509595
13:18:22,26,24018,0.98612317,-18.0,0.08070194753347686,3.922837,292.90026580253016
13:18:25,27,24874,0.98527573,-20.0,0.08236876843827907,2.751979,311.04888518408023
13:18:27,28,25704,0.98445403,-21.0,0.09682946051088508,2.692929,308.2145871651276
13:18:31,29,26687,0.98348086,-20.0,0.09353489518105014,3.821202,257.2488970747948
